,Matriz,Legislação,Classe,Grupo,Parâmetro B.D.,Parâmetro,Unidade,Min,Max,Obs
147,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,ENDRIN,Endrin,µg/L,,0.004,
148,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,ESTIRENO,Estireno,mg/L,,0.02,
149,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,ETILBENZENO,Etilbenzeno,µg/L,,90.0,
150,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,FENOIS TOTAIS,Fenóis totais,mg/L,,0.003,
151,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,FERRO DISSOLVIDO,Ferro dissolvido,mg/L,,0.3,
152,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,FLUORETO TOTAL,Fluoreto total,mg/L,,1.4,
153,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,FOSFORO TOTAL (AMBIENTE INTERMEDIARIO),Fósforo total,mg/L,,0.05,
154,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,FOSFORO TOTAL (AMBIENTE LENTICO),Fósforo total,mg/L,,0.03,
155,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,FOSFORO TOTAL (AMBIENTE LOTICO),Fósforo total,mg/L,,0.1,
156,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,GLIFOSATO,Glifosato,µg/L,,65.0,
157,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,GUTION,Gution,µg/L,,0.005,
158,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,HEPTACLORO E HEPTACLORO EPOXIDO,Heptacloro epóxido e Heptacloro,µg/L,,0.01,
159,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,HEXACLOROBENZENO,Hexaclorobenzeno,µg/L,,0.0065,
160,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,"INDENO(1,2,3-CD)PIRENO","Indeno(1,2,3-cd)pireno",µg/L,,0.05,
161,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,LINDANO (G-HCH/G-BHC),Lindano (g-HCH),µg/L,,0.02,
162,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,LITIO TOTAL,Lítio total,mg/L,,2.5,
163,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,MALATION,Malation,µg/L,,0.1,
164,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,MANGANES TOTAL,Manganês total,mg/L,,0.1,
165,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,MATERIAIS FLUTUANTES,Materiais flutuantes,P/A,,0.0001,
166,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,MERCURIO TOTAL,Mercúrio total,mg/L,,0.0002,
167,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,METOLACLORO,Metolacloro,µg/L,,10.0,
168,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,METOXICLORO,Metoxicloro,µg/L,,0.03,
169,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,NIQUEL TOTAL,Níquel total,mg/L,,0.025,
170,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,NITRATO COMO N,Nitrato como N,mg/L,,10.0,
171,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,NITRITO COMO N,Nitrito como N,mg/L,,1.0,
172,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,ODOR,Substâncias que comuniquem gosto ou odor,P/A,,0.0,
173,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,OLEOS E GRAXAS VISIVEIS,Óleos e Graxas visíveis,P/A,,0.0,
174,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,OXIGENIO DISSOLVIDO,Oxigênio dissolvido,mg/L,5.0,,
175,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,"P,P-DDT + P,P-DDD + P,P-DDE",DDT (p.p'-DDT + p.p'-DDE + p.p'-DDD),µg/L,,0.002,
176,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,PARATION,Paration,µg/L,,0.04,
177,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,PCBS,PCB´s - Bifenilas Policloradas,µg/L,,0.001,
178,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,PENTACLOROFENOL,Pentaclorofenol,mg/L,,0.009,
179,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,PH,pH,-,6.0,9.0,
180,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,PRATA TOTAL,Prata total,mg/L,,0.01,
181,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,RESIDUOS SOLIDOS OBJETAVEIS,Resíduos sólidos objetáveis,P/A,,0.5,
182,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,SELENIO TOTAL,Selênio total,mg/L,,0.01,
183,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,SIMAZINA,Simazina,µg/L,,2.0,
184,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,SOLIDOS DISSOLVIDOS TOTAIS,Sólidos dissolvidos totais,mg/L,,500.0,
185,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,SUBSTANCIAS TENSOATIVAS,Substâncias tensoativas,mg/L,,0.5,
186,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,SULFATO TOTAL,Sulfato total,mg/L,,250.0,
187,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,SULFETO,Sulfetos (como H2S não dissociado),mg/L,,0.002,
188,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,TETRACLORETO DE CARBONO,Tetracloreto de carbono,mg/L,,0.002,
189,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,TETRACLOROETENO,Tetracloroeteno,mg/L,,0.01,
190,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,TOLUENO,Tolueno,µg/L,,2.0,
191,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,TOXAFENO,Toxafeno,µg/L,,0.01,
192,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,TRIBUTILESTANHO,Tributilestanho,µg/L,,0.063,
193,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,TRICLOROBENZENOS,"Triclorobenzeno (1,2,3-TCB + 1,2,4-TCB)",mg/L,,0.02,
194,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,TRIFLURALINA,Trifluralina,µg/L,,0.2,
195,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,TURBIDEZ,Turbidez,UNT,,100.0,
196,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,URANIO TOTAL,Urânio total,mg/L,,0.02,
197,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,VANADIO TOTAL,Vanádio total,mg/L,,0.1,
198,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,XILENO TOTAL,Xileno,µg/L,,300.0,
199,Água Superficial,Limite CONAMA nº 357/2005,Classe 2,,ZINCO TOTAL,Zinco total,mg/L,,0.18,
