Matriz;Legislação;Classe;Grupo;Parâmetro B.D.;Parâmetro;Unidade;Min;Max;Obs
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;FENOIS TOTAIS;Fenóis totais;mg/L;;0.003;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;FERRO DISSOLVIDO;Ferro dissolvido;mg/L;;0.3;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;FLUORETO TOTAL;Fluoreto total;mg/L;;1.4;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;FOSFORO TOTAL (AMBIENTE INTERMEDIARIO);Fósforo total;mg/L;;0.025;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;FOSFORO TOTAL (AMBIENTE LENTICO);Fósforo total;mg/L;;0.02;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;FOSFORO TOTAL (AMBIENTE LOTICO);Fósforo total;mg/L;;0.1;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;GLIFOSATO;Glifosato;µg/L;;65;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;GUTION;Gution;µg/L;;0.005;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;HEPTACLORO E HEPTACLORO EPOXIDO;Heptacloro epóxido e Heptacloro;µg/L;;0.01;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;HEXACLOROBENZENO;Hexaclorobenzeno;µg/L;;0.0065;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;INDENO(1,2,3-CD)PIRENO;Indeno(1,2,3-cd)pireno;µg/L;;0.05;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;LINDANO (G-HCH/G-BHC);Lindano (g-HCH);µg/L;;0.02;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;LITIO TOTAL;Lítio total;mg/L;;2.5;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;MALATION;Malation;µg/L;;0.1;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;MANGANES TOTAL;Manganês total;mg/L;;0.1;
